date,title,url,cves_count,pdfs,fetched_at
2023-11-15,Vuln̩rabilit̩s critiques dans plusieurs produits Microsoft (Patch Tuesday Novembre 2023),https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-critiques-dans-plusieurs-produits-microsoft-patch-tuesday-novembre-2023,13,https://dgssi.gov.ma/sites/default/files/bulletin/2023-11/Vuln%C3%A9rabilit%C3%A9s%20dans%20plusieurs%20produits%20Microsoft%20%20%28Patch%20Tuesday%20Novembre%202023%29.pdf,2026-03-04T12:48:51Z
2023-11-15,Vuln̩rabilit̩s critiques dans Microsoft Windows (Patch Tuesday Novembre 2023),https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-critiques-dans-microsoft-windows-patch-tuesday-novembre-2023,32,https://dgssi.gov.ma/sites/default/files/bulletin/2023-11/Vuln%C3%A9rabilit%C3%A9s%20critiques%20dans%20Microsoft%20Windows%20%28Patch%20Tuesday%20Novembre%202023%29.pdf,2026-03-04T12:48:51Z
2023-11-15,Vuln̩rabilit̩s critiques dans les produits Microsoft Azure (Patch Tuesday Novembre 2023),https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-critiques-dans-les-produits-microsoft-azure-patch-tuesday-novembre-2023,4,https://dgssi.gov.ma/sites/default/files/bulletin/2023-11/Vuln%C3%A9rabilit%C3%A9s%20critiques%20dans%20les%20produits%20Microsoft%20Azure%20%28Patch%20Tuesday%20Novembre%202023%29.pdf,2026-03-04T12:48:51Z
2023-11-15,Vuln̩rabilit̩s dans Microsoft Exchange Server (Patch Tuesday Novembre 2023),https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-dans-microsoft-exchange-server-patch-tuesday-novembre-2023,4,https://dgssi.gov.ma/sites/default/files/bulletin/2023-11/Vuln%C3%A9rabilit%C3%A9s%20dans%20Microsoft%20Exchange%20Server%20%28Patch%20Tuesday%20Novembre%202023%29.pdf,2026-03-04T12:48:52Z
2023-11-15,Vuln̩rabilit̩s dans Microsoft Office (Patch Tuesday Novembre 2023),https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-dans-microsoft-office-patch-tuesday-novembre-2023,5,https://dgssi.gov.ma/sites/default/files/bulletin/2023-11/Vuln%C3%A9rabilit%C3%A9s%20dans%20Microsoft%20Office%20%28Patch%20Tuesday%20Novembre%202023%29.pdf,2026-03-04T12:48:52Z
2023-11-14,Vuln̩rabilit̩s affectant PostgreSQL,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-affectant-postgresql,3,https://dgssi.gov.ma/sites/default/files/bulletin/2023-11/Vuln%C3%A9rabilit%C3%A9s%20affectant%20PostgreSQL.pdf,2026-03-04T12:48:53Z
2023-11-13,Vuln̩rabilit̩ critique affectant Apache ActiveMQ,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilite-critique-affectant-apache-activemq,1,https://dgssi.gov.ma/sites/default/files/bulletin/2023-11/Vuln%C3%A9rabilit%C3%A9%20critique%20affectant%20Apache%20ActiveMQ.pdf,2026-03-04T12:48:53Z
2023-11-10,Vuln̩rabilit̩ dans Palo Alto Networks Cortex XSOAR,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilite-dans-palo-alto-networks-cortex-xsoar-0,1,,2026-03-04T12:48:54Z
2023-11-09,Vuln̩rabilit̩ affectant le navigateur Google Chrome,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilite-affectant-le-navigateur-google-chrome-0,1,https://dgssi.gov.ma/sites/default/files/bulletin/2023-11/Vuln%C3%A9rabilit%C3%A9%20affectant%20%20le%20navigateur%20Google%20Chrome.pdf,2026-03-04T12:48:54Z
2023-11-09,Vuln̩rabilit̩ affectant OpenSSL,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilite-affectant-openssl-0,1,https://dgssi.gov.ma/sites/default/files/bulletin/2023-11/Vuln%C3%A9rabilit%C3%A9%20affectant%20OpenSSL.pdf,2026-03-04T12:48:54Z
2023-11-09,Vuln̩rabilit̩ critique affectant la biblioth̬que GNU C,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilite-critique-affectant-la-bibliotheque-gnu-c,1,https://dgssi.gov.ma/sites/default/files/bulletin/2023-11/Vuln%C3%A9rabilit%C3%A9%20critique%20affectant%20la%20biblioth%C3%A8que%20GNU%20C.pdf,2026-03-04T12:48:55Z
2023-11-08,Vuln̩rabilit̩s dans Android,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-dans-android-0,37,https://dgssi.gov.ma/sites/default/files/bulletin/2023-11/Vuln%C3%A9rabilit%C3%A9s%20dans%20Android.pdf,2026-03-04T12:48:55Z
2023-11-07,Vuln̩rabilit̩ affectant Roundcube Webmail,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilite-affectant-roundcube-webmail,0,https://dgssi.gov.ma/sites/default/files/bulletin/2023-11/Vuln%C3%A9rabilit%C3%A9%20affectant%20le%20proxy%20Squid_0.pdf,2026-03-04T12:48:56Z
